date,inner,outer,humidity
2017-03-21 00:19:10,27,29,54
2017-03-21 00:34:11,28,29,55
2017-03-21 00:49:11,22,29,57
2017-03-21 01:04:12,21,29,58
2017-03-21 01:07:05,23,29,57
2017-03-21 01:22:06,21,29,70
2017-03-21 01:37:07,21,29,68
2017-03-21 01:52:07,23,29,57
2017-03-21 02:07:05,23,29,57
2017-03-21 02:22:06,21,29,70
2017-03-21 02:37:07,21,29,68
2017-03-21 02:52:07,23,29,57
2017-03-21 03:07:05,23,29,57
2017-03-21 03:22:06,21,29,70
2017-03-21 03:37:07,21,29,68
2017-03-21 03:52:07,23,29,57
2017-03-21 04:07:05,23,29,57
2017-03-21 04:22:06,21,29,70
2017-03-21 04:37:07,21,29,68
2017-03-21 04:52:07,23,29,57
2017-03-21 05:07:05,23,29,57
2017-03-21 05:22:06,21,29,70
2017-03-21 05:37:07,21,29,68
2017-03-21 05:52:07,23,29,57
2017-03-21 06:07:05,24,29,68
2017-03-21 06:22:06,21,29,70
2017-03-21 06:37:07,21,29,68
2017-03-21 06:52:07,23,29,57
2017-03-21 07:07:05,24,29,68
2017-03-21 07:22:06,21,29,70
2017-03-21 07:37:53,23,29,57
2017-03-21 08:00:25,26,29,64
2017-03-21 08:02:14,23,29,68
2017-03-21 08:03:11,21,29,69
2017-03-21 08:07:03,22,29,66
2017-03-21 08:22:04,21,29,65
2017-03-21 08:37:04,21,29,69
2017-03-21 08:52:05,22,29,70
2017-03-21 09:07:05,24,29,68
2017-03-21 09:22:06,21,29,70
2017-03-21 09:37:07,21,29,68
2017-03-21 09:52:07,24,29,69
2017-03-21 10:07:10,22,29,69
2017-03-21 10:22:14,26,29,66
2017-03-21 10:37:14,23,29,67
2017-03-21 10:52:15,23,29,66
2017-03-21 11:07:15,24,29,67
2017-03-21 11:22:16,23,29,67
2017-03-21 11:37:17,25,29,66
2017-03-21 11:52:17,22,29,65
2017-03-21 12:07:17,22,29,65
2017-03-21 12:22:17,22,29,65
2017-03-21 12:37:17,22,29,65
2017-03-21 12:52:17,22,29,65
2017-03-21 13:07:17,22,29,65
2017-03-21 13:22:17,22,29,65
2017-03-21 13:37:17,22,29,65
2017-03-21 13:44:26,27,32,62
2017-03-21 13:46:09,30,32,61
2017-03-21 14:07:17,22,29,65
2017-03-21 14:22:17,22,29,65
2017-03-21 14:37:17,22,29,65
2017-03-21 14:44:26,27,32,62
2017-03-21 14:46:09,30,32,61
2017-03-21 15:07:17,22,29,65
2017-03-21 15:22:17,22,29,65
2017-03-21 15:37:17,22,29,65
2017-03-21 15:44:26,27,32,62
2017-03-21 15:46:09,30,32,61
2017-03-21 16:51:53,30,32,63
2017-03-21 16:55:31,27,32,63
2017-03-21 16:57:03,27,32,63
2017-03-21 16:57:03,27,32,63
2017-03-21 16:58:34,27,32,63
2017-03-21 17:05:45,27,32,64
2017-03-21 17:11:04,25,32,65
2017-03-21 17:13:27,26,32,65
2017-03-21 17:28:30,28,32,64
2017-03-21 17:32:21,23,31,68
2017-03-21 17:47:23,32,31,67
2017-03-21 18:02:25,23,31,68
2017-03-21 18:17:26,28,31,62
2017-03-21 18:32:30,23,31,61
2017-03-21 18:47:32,23,31,55
2017-03-21 19:02:36,23,31,61
2017-03-21 19:17:38,24,31,59
2017-03-21 19:32:40,30,31,57
2017-03-21 19:47:41,31,31,57
2017-03-21 20:02:42,23,31,56
2017-03-21 20:23:32,23,29,55
2017-03-21 20:38:36,25,29,53
2017-03-21 20:53:38,24,29,50
2017-03-21 21:08:39,25,29,48
2017-03-21 21:23:40,24,29,48
2017-03-21 21:38:42,24,29,48
2017-03-21 21:53:43,28,29,49
2017-03-21 22:08:45,28,29,50
2017-03-21 22:23:47,27,29,50
2017-03-21 22:38:48,24,29,51
2017-03-21 22:53:58,24,29,51
2017-03-21 23:08:59,24,29,49
2017-03-21 23:24:01,27,29,50
2017-03-21 23:39:02,24,29,48
2017-03-21 23:54:06,24,29,49
2017-03-22 00:09:08,27,29,51
